Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cart2India Online	16088.00		14-21 days	0.0	1.0	3	49%	0	0	0	2020-09-02 21:20:24.135055
Kiron	28720.00	483	22-32 days	12632.0	1.7852	5	100%	0	0	0	2020-09-02 21:20:24.135055
