Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1514.00	85	9-11 days	0.0	1.0	4.5	82%	0	0	0	2020-09-04 19:08:02.451823
CONCEPTENTERPRISES	1514.00		7-9 days	0.0	1.0			0	0	0	2020-09-04 19:08:02.451823
ARADHYA ENTERPRISES-IN	1515.00			1.0	1.0007			1	0	0	2020-09-04 19:08:02.451823
Olympia Industries Ltd	1519.00			5.0	1.0033	4.5	89%	1	0	1	2020-09-04 19:08:02.451823
Click At Luggage	1570.00			56.0	1.037	4.5	95%	1	0	0	2020-09-04 19:08:02.451823
Quicksell Pro	1750.00		9-11 days	236.0	1.1559			0	0	0	2020-09-04 19:08:02.451823
JhakasDeals	1799.00	714		285.0	1.1882	3.5	68%	1	0	0	2020-09-04 19:08:02.451823
JD Hypermart	1699.00		4-7 days	185.0	1.1222			0	0	0	2020-09-04 19:08:02.451823
Backpack World	1850.00			336.0	1.2219	4	81%	1	0	0	2020-09-04 19:08:02.451823
Desert Retail	1949.00	199	7-9 days	435.0	1.2873	4	79%	0	0	0	2020-09-04 19:08:02.451823
LAHAR SELECTION	1999.00		9-10 days	485.0	1.3203			0	0	0	2020-09-04 19:08:02.451823
