Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS HI BAG	1439.80	72		0.0	1.0	3.5	70%	1	0	1	2020-09-02 13:01:59.807834
Catchy Bags	1440.00	124		0.2	1.0001	4.5	94%	1	0	0	2020-09-02 13:01:59.807834
Desert Retail	1441.00	28	7-8 days	1.2	1.0008	4	79%	0	0	0	2020-09-02 13:01:59.807834
HINDUSTAN CRAFT	1449.00		5-6 days	9.2	1.0064			0	0	0	2020-09-02 13:01:59.807834
eLITESPORTS	1546.00		5-6 days	106.2	1.0738	4.5	90%	0	0	0	2020-09-02 13:01:59.807834
Bombay Bag House	1599.00	594	6-7 days	159.2	1.1106			0	0	0	2020-09-02 13:01:59.807834
RAVISH	1649.00		6-8 days	209.2	1.1453	3	50%	0	0	0	2020-09-02 13:01:59.807834
Ocean Bag	1650.00		5-6 days	210.2	1.146	4.5	83%	0	0	0	2020-09-02 13:01:59.807834
GO Sport India	1880.00	2	4-6 days	440.2	1.3057			0	0	0	2020-09-02 13:01:59.807834
V-THREE	1880.00	6	4-5 days	440.2	1.3057	4	75%	0	0	0	2020-09-02 13:01:59.807834
NEW FANCY BAGS	1849.00			409.2	1.2842	5	100%	0	0	0	2020-09-02 13:01:59.807834
