Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1095.00			0.0	1.0	4.5	89%	1	1	1	2020-09-01 19:32:58.481608
F Gear	1290.00		5-10 days	195.0	1.1781	4	62%	0	0	0	2020-09-01 19:32:58.481608
