Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
RS ENTERPRISES	1196.00	20		0.0	1.0	4	80%	1	0	1	2020-09-04 21:42:27.737721
E-Shop Retail	1197.00	85		1.0	1.0008	4.5	82%	1	0	0	2020-09-04 21:42:27.737721
CONCEPTENTERPRISES	1197.00		7-9 days	1.0	1.0008			0	0	0	2020-09-04 21:42:27.737721
DEALS AMAZING	1198.00			2.0	1.0017	4	76%	1	0	0	2020-09-04 21:42:27.737721
TODAY'S DEAL	1203.00			7.0	1.0059	4	79%	1	0	0	2020-09-04 21:42:27.737721
Earth industries	1209.00			13.0	1.0109	3	45%	1	0	0	2020-09-04 21:42:27.737721
AnandEnterprisesForU	1249.00	31		53.0	1.0443	3.5	73%	1	0	0	2020-09-04 21:42:27.737721
Catchy Bags	1250.00	11		54.0	1.0452	4.5	94%	1	0	0	2020-09-04 21:42:27.737721
Deepsum Bags	1900.00	124	9-10 days	704.0	1.5886	5	100%	0	0	0	2020-09-04 21:42:27.737721
Safari's luggage world	1918.00	4	9-11 days	722.0	1.6037	4	74%	0	0	0	2020-09-04 21:42:27.737721
The Skool Shoppe	1918.00	27	9-10 days	722.0	1.6037			0	0	0	2020-09-04 21:42:27.737721
