Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
CHVE	1430.00	42	7-8 days	0.0	1.0	4.5	88%	0	0	0	2020-07-13 02:19:37.283144
AnandEnterprisesForU	1435.00	11		5.0	1.0035	3.5	73%	1	0	1	2020-07-13 02:19:37.283144
E-Shop Retail	1436.00	79		6.0	1.0042	4.5	83%	1	0	0	2020-07-13 02:19:37.283144
Digitaly yours	1436.00	36	7-8 days	6.0	1.0042	3	53%	0	0	0	2020-07-13 02:19:37.283144
SanSac Global	1449.00	8		19.0	1.0133	2.5	50%	1	0	0	2020-07-13 02:19:37.283144
Desert Retail	1596.00	28	7-8 days	166.0	1.1161	4	79%	0	0	0	2020-07-13 02:19:37.283144
E-TECH RETAIL	1599.00	1	7-9 days	169.0	1.1182	5	100%	0	0	0	2020-07-13 02:19:37.283144
Backpack World	1650.00			220.0	1.1538	4.5	94%	0	0	0	2020-07-13 02:19:37.283144
GoTo Style Mart	1699.00			269.0	1.1881	4.5	96%	1	0	0	2020-07-13 02:19:37.283144
Net Distribution Services Pvt Ltd	1700.00	773		270.0	1.1888	4.5	85%	1	0	0	2020-07-13 02:19:37.283144
The Skool Shoppe	2080.00		7-9 days	650.0	1.4545			0	0	0	2020-07-13 02:19:37.283144
Purvas Shoppe	2550.00			1120.0	1.7832	4.5	94%	0	0	0	2020-07-13 02:19:37.283144
