Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1368.00	81		0.0	1.0	4.5	86%	1	0	1	2020-08-01 10:40:45.380731
Deals7x24	1368.00	44	9-11 days	0.0	1.0	4	73%	0	0	0	2020-08-01 10:40:45.380731
SanSac Global	1385.00	9		17.0	1.0124	2.5	44%	1	0	0	2020-08-01 10:40:45.380731
JKM ENTERPRISES INDIA	1385.00	3		17.0	1.0124	3.5	67%	1	0	0	2020-08-01 10:40:45.380731
E-TECH RETAIL	1404.00	1	9-11 days	36.0	1.0263	5	100%	0	0	0	2020-08-01 10:40:45.380731
Olympia Industries Ltd	1486.00			118.0	1.0863	4.5	89%	1	0	0	2020-08-01 10:40:45.380731
Desert Retail	1588.00	28		220.0	1.1608	4	79%	0	0	0	2020-08-01 10:40:45.380731
DEALS AMAZING	1593.00			225.0	1.1645	4	80%	1	0	0	2020-08-01 10:40:45.380731
CONCEPTENTERPRISES	1599.00		8-9 days	231.0	1.1689			0	0	0	2020-08-01 10:40:45.380731
Standard enterprise	1650.00		11-15 days	282.0	1.2061	4	100%	0	0	0	2020-08-01 10:40:45.380731
LAHAR SELECTION	1999.00	1	9-10 days	631.0	1.4613			0	0	0	2020-08-01 10:40:45.380731
The Skool Shoppe	2111.00		8-11 days	743.0	1.5431			0	0	0	2020-08-01 10:40:45.380731
Purvas Shoppe	2550.00		6-8 days	1182.0	1.864	4.5	94%	0	0	0	2020-08-01 10:40:45.380731
