Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
INFOCOM LTD	1125.00	58	6-7 days	0.0	1.0	4	81%	0	0	1	2020-07-27 16:55:58.115567
Cloudtail India	1189.00			64.0	1.0569	4.5	90%	1	1	0	2020-07-27 16:55:58.115567
INFOCOM LTD	1251.00	58	6-7 days	126.0	1.112	4	81%	0	0	1	2020-07-27 16:55:58.115567
