Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
JKM ENTERPRISES INDIA	1149.00	4	7-9 days	0.0	1.0	3.5	75%	0	0	1	2020-08-28 10:56:15.252981
E-TECH RETAIL	1150.00	2	8-11 days	1.0	1.0009	4.5	100%	0	0	0	2020-08-28 10:56:15.252981
E-Shop Retail	1225.00	84		76.0	1.0661	4.5	88%	1	0	0	2020-08-28 10:56:15.252981
EVAN	1225.00			76.0	1.0661	4.5	94%	1	0	0	2020-08-28 10:56:15.252981
Earth industries	1225.00	30	7-9 days	76.0	1.0661	3	42%	0	0	0	2020-08-28 10:56:15.252981
Catchy Bags	1250.00	124		101.0	1.0879	4.5	94%	1	0	0	2020-08-28 10:56:15.252981
DEALS AMAZING	1397.00			248.0	1.2158	4	77%	1	0	0	2020-08-28 10:56:15.252981
TODAY'S DEAL	1397.00			248.0	1.2158	4	79%	1	0	0	2020-08-28 10:56:15.252981
Safari's luggage world	1918.00	27	10-11 days	769.0	1.6693	4	74%	0	0	0	2020-08-28 10:56:15.252981
gsienterprises	1918.00	6	7-9 days	769.0	1.6693	3	50%	0	0	0	2020-08-28 10:56:15.252981
The Skool Shoppe	1918.00		8-10 days	769.0	1.6693			0	0	0	2020-08-28 10:56:15.252981
