Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SanSac Global	1434.00	9		0.0	1.0	2.5	44%	1	0	0	2020-08-01 00:24:44.655199
E-Shop Retail	1434.00	81		0.0	1.0	4.5	86%	1	0	1	2020-08-01 00:24:44.655199
Click At Luggage	1480.00	714		46.0	1.0321	4.5	95%	1	0	0	2020-08-01 00:24:44.655199
Olympia Industries Ltd	1486.00			52.0	1.0363	4.5	89%	1	0	0	2020-08-01 00:24:44.655199
Desert Retail	1596.00	28		162.0	1.113	4	79%	0	0	0	2020-08-01 00:24:44.655199
E-TECH RETAIL	1599.00	1	9-11 days	165.0	1.1151	5	100%	0	0	0	2020-08-01 00:24:44.655199
Backpack World	1650.00			216.0	1.1506	4	85%	0	0	0	2020-08-01 00:24:44.655199
Nasher Miles Private Limited	1699.00			265.0	1.1848	5	97%	1	0	0	2020-08-01 00:24:44.655199
Net Distribution Services Pvt Ltd	1700.00	779		266.0	1.1855	4.5	86%	1	0	0	2020-08-01 00:24:44.655199
CONCEPTENTERPRISES	1799.00			365.0	1.2545			0	0	0	2020-08-01 00:24:44.655199
LAHAR SELECTION	1999.00		8-9 days	565.0	1.394			0	0	0	2020-08-01 00:24:44.655199
The Skool Shoppe	2080.00		8-11 days	646.0	1.4505			0	0	0	2020-08-01 00:24:44.655199
