Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	295.00	56		4.0	1.0137	4.5	90%	1	0	1	2020-08-01 13:20:02.235957
BAGS KART	305.00	79		14.0	1.0481	4.5	92%	1	0	0	2020-08-01 13:20:02.235957
Desert Retail	325.00	28		34.0	1.1168	4	79%	0	0	0	2020-08-01 13:20:02.235957
Cloudtail India	343.00			52.0	1.1787	4.5	89%	1	1	0	2020-08-01 13:20:02.235957
Pass ki dukan	291.00	14		0.0	1.0	4.5	86%	0	0	0	2020-08-01 13:20:02.235957
Festivals	369.00			78.0	1.268	3.5	60%	1	0	0	2020-08-01 13:20:02.235957
INDIA'S BEST COMPETITIVE PRICES	349.00	36	8-9 days	58.0	1.1993	2.5	36%	0	0	0	2020-08-01 13:20:02.235957
Big Bazaar	475.00			184.0	1.6323	3	57%	1	0	0	2020-08-01 13:20:02.235957
Shiva Assosciates	699.00	6	8-9 days	408.0	2.4021	3.5	67%	0	0	0	2020-08-01 13:20:02.235957
SiH	799.00	44		508.0	2.7457	4.5	93%	0	0	0	2020-08-01 13:20:02.235957
LVDV	799.00	19	9-10 days	508.0	2.7457	4	73%	0	0	0	2020-08-01 13:20:02.235957
