Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
LAVIE*	699.00	1	11-12 days	0.0	1.0	4	100%	0	0	0	2020-07-26 13:44:53.580886
Cloudtail India	716.00			17.0	1.0243	4.5	90%	1	1	1	2020-07-26 13:44:53.580886
M/S CRAFT CENTER	800.00	7	9-10 days	101.0	1.1445	4.5	71%	0	0	0	2020-07-26 13:44:53.580886
