Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
itdeal1414	1690.00	594	8-12 days	0.0	1.0	4.5	85%	0	0	0	2020-08-25 19:59:17.991833
TPS Technologies	1699.00			9.0	1.0053	4.5	90%	1	0	1	2020-08-25 19:59:17.991833
