Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Highland India	1620.00	174		0.0	1.0	5	99%	1	0	1	2020-07-15 22:27:54.244575
World Market	1624.00	36		4.0	1.0025	4.5	96%	1	0	0	2020-07-15 22:27:54.244575
Textech Solutions	1949.00	312		329.0	1.2031	4.5	91%	1	0	0	2020-07-15 22:27:54.244575
