Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	849.00			29.0	1.0354	4.5	90%	1	1	1	2020-07-12 21:29:18.532923
RS ENTERPRISES	849.00	18		29.0	1.0354	4	78%	1	0	0	2020-07-12 21:29:18.532923
Catchy Bags	915.00	124		95.0	1.1159	4.5	96%	1	0	0	2020-07-12 21:29:18.532923
Backpack World	917.00			97.0	1.1183	4.5	94%	0	0	0	2020-07-12 21:29:18.532923
little bazar	820.00	22	9-10 days	0.0	1.0	4	73%	0	0	0	2020-07-12 21:29:18.532923
BagStop	930.00	58	9-10 days	110.0	1.1341	3.5	57%	0	0	0	2020-07-12 21:29:18.532923
Ocean Bag	990.00	6		170.0	1.2073	4.5	83%	0	0	0	2020-07-12 21:29:18.532923
V-THREE	1087.00	4		267.0	1.3256	4	75%	0	0	0	2020-07-12 21:29:18.532923
Standard enterprise	1050.00	1	9-10 days	230.0	1.2805	4	100%	0	0	0	2020-07-12 21:29:18.532923
Deepsum Bags	1150.00	4	8-9 days	330.0	1.4024	5	100%	0	0	0	2020-07-12 21:29:18.532923
gsienterprises	1160.00	6	8-9 days	340.0	1.4146	3	50%	0	0	0	2020-07-12 21:29:18.532923
Purvas Shoppe	1230.00	18		410.0	1.5	4.5	94%	0	0	0	2020-07-12 21:29:18.532923
