Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1045.00	70		0.0	1.0	4	82%	1	0	0	2020-07-27 08:57:57.917475
AnandEnterprisesForU	1046.00	11		1.0	1.001	3.5	73%	1	0	0	2020-07-27 08:57:57.917475
Cloudtail India	1050.00			5.0	1.0048	4.5	90%	1	1	1	2020-07-27 08:57:57.917475
Nasher Miles Private Limited	1079.00			34.0	1.0325	5	97%	1	0	0	2020-07-27 08:57:57.917475
Buy More	1399.00			354.0	1.3388	4	84%	1	0	0	2020-07-27 08:57:57.917475
