Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Backpack World	770.00			0.0	1.0	4	83%	1	0	1	2020-07-30 04:55:34.716806
Cloudtail India	771.00			1.0	1.0013	4.5	90%	1	1	0	2020-07-30 04:55:34.716806
