Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1120.00	70		0.0	1.0	4	82%	1	0	0	2020-08-03 03:48:33.431045
Cloudtail India	1121.00			1.0	1.0009	4.5	89%	1	1	1	2020-08-03 03:48:33.431045
HEXA A STORE	1130.00	36		10.0	1.0089	2.5	45%	0	0	0	2020-08-03 03:48:33.431045
Digitaly yours	1185.00	36	7-8 days	65.0	1.058	3	53%	0	0	0	2020-08-03 03:48:33.431045
Catchy Bags	1195.00	124		75.0	1.067	4.5	94%	1	0	0	2020-08-03 03:48:33.431045
Backpack World	1218.00		7-8 days	98.0	1.0875	4	83%	0	0	0	2020-08-03 03:48:33.431045
BagStop	1350.00	58		230.0	1.2054	3.5	57%	0	0	0	2020-08-03 03:48:33.431045
cloudind	1499.00		6-7 days	379.0	1.3384	4.5	93%	0	0	0	2020-08-03 03:48:33.431045
Harricane	1500.00	252	6-7 days	380.0	1.3393	3.5	65%	0	0	0	2020-08-03 03:48:33.431045
TRENZY WORLD	1550.00	1		430.0	1.3839	4	100%	0	0	0	2020-08-03 03:48:33.431045
Brands India	1590.00	251		470.0	1.4196	4	90%	1	0	0	2020-08-03 03:48:33.431045
V-THREE	1960.00	4	7-8 days	840.0	1.75	4	75%	0	0	0	2020-08-03 03:48:33.431045
gsienterprises	2240.00	6		1120.0	2.0	3	50%	0	0	0	2020-08-03 03:48:33.431045
Purvas Shoppe	2240.00	18	8-9 days	1120.0	2.0	4.5	94%	0	0	0	2020-08-03 03:48:33.431045
