Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
JKM ENTERPRISES INDIA	1439.00	3	6-7 days	0.0	1.0	3.5	67%	0	0	0	2020-08-03 03:48:33.431045
Olympia Industries Ltd	1486.00			47.0	1.0327	4.5	89%	1	0	1	2020-08-03 03:48:33.431045
Desert Retail	1596.00	28		157.0	1.1091	4	79%	0	0	0	2020-08-03 03:48:33.431045
E-TECH RETAIL	1599.00	1	8-9 days	160.0	1.1112	5	100%	0	0	0	2020-08-03 03:48:33.431045
Backpack World	1650.00		7-8 days	211.0	1.1466	4	83%	0	0	0	2020-08-03 03:48:33.431045
Nasher Miles Private Limited	1699.00			260.0	1.1807	5	96%	1	0	0	2020-08-03 03:48:33.431045
Net Distribution Services Pvt Ltd	1700.00	779		261.0	1.1814	4.5	85%	1	0	0	2020-08-03 03:48:33.431045
ecomstars	1750.00			311.0	1.2161	4	79%	1	0	0	2020-08-03 03:48:33.431045
LAHAR SELECTION	1999.00		7-8 days	560.0	1.3892			0	0	0	2020-08-03 03:48:33.431045
The Skool Shoppe	2100.00		8-9 days	661.0	1.4593			0	0	0	2020-08-03 03:48:33.431045
