Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	789.00			0.0	1.0	4.5	89%	1	1	1	2020-08-03 03:48:33.431045
Olympia Industries Ltd	855.00			66.0	1.0837	4.5	89%	1	0	0	2020-08-03 03:48:33.431045
LVDV	1400.00	19	7-8 days	611.0	1.7744	4	73%	0	0	0	2020-08-03 03:48:33.431045
