Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
RS ENTERPRISES	1043.00	18		0.0	1.0	4	78%	1	0	0	2020-07-28 19:11:35.479387
TODAY'S DEAL	1044.00			1.0	1.001	4	79%	1	0	1	2020-07-28 19:11:35.479387
DEALS AMAZING	1045.00			2.0	1.0019	4	80%	1	0	0	2020-07-28 19:11:35.479387
Earth industries	1048.00	29		5.0	1.0048	3	44%	1	0	0	2020-07-28 19:11:35.479387
E-Shop Retail	1050.00	80		7.0	1.0067	4.5	85%	1	0	0	2020-07-28 19:11:35.479387
A Bags world	1059.50	62		16.5	1.0158	3.5	69%	1	0	0	2020-07-28 19:11:35.479387
BAGS HI BAG	1063.00	72		20.0	1.0192	3.5	69%	1	0	0	2020-07-28 19:11:35.479387
THE CONNECT	1066.00	8	10-12 days	23.0	1.0221	4	75%	0	0	0	2020-07-28 19:11:35.479387
E-TECH RETAIL	1099.00	1	12-13 days	56.0	1.0537	5	100%	0	0	0	2020-07-28 19:11:35.479387
cloudind	1130.00			87.0	1.0834	4.5	90%	0	0	0	2020-07-28 19:11:35.479387
Standard enterprise	1247.00	1		204.0	1.1956	4	100%	0	0	0	2020-07-28 19:11:35.479387
Viva Bags	1249.00	8	6-7 days	206.0	1.1975	4	75%	0	0	0	2020-07-28 19:11:35.479387
BagStop	1175.00	58		132.0	1.1266	3.5	57%	0	0	0	2020-07-28 19:11:35.479387
Backpack World	1290.00		7-8 days	247.0	1.2368	4	87%	0	0	0	2020-07-28 19:11:35.479387
Deepsum Bags	1900.00	4	7-8 days	857.0	1.8217	5	100%	0	0	0	2020-07-28 19:11:35.479387
gsienterprises	1918.00	6	7-8 days	875.0	1.8389	3	50%	0	0	0	2020-07-28 19:11:35.479387
