Price + Delivery	Condition	Seller Information	Delivery
  814.00 | Prime : Yes |  |   814.00	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 88% positive | 363,818 total rating	Fullfilled by Amazon
  890.00 | Prime : No |  | FREE Delivery.	New	Jyoti Infocom | 4 out of 5 stars  | 79% positive | 93 total rating	Not fulfilled by Amazon | 8-11 days
  930.00 | Prime : Yes |  |   930.00	New	TeChno Electronics | 4 out of 5 stars  | 70% positive | 87 total rating	Not fulfilled by Amazon
  990.00 | Prime : Yes |  |   990.00	New	The Best Dealzz | 4.5 out of 5 stars  | 82% positive | 43 total rating	Fullfilled by Amazon
  999.00 | Prime : No |  | FREE Delivery.	New	Xtremme Technplogies | 4.5 out of 5 stars  | 81% positive | 79 total rating	Not fulfilled by Amazon
  1,049.00 | Prime : Yes |  |   1,049.00	New	Retails Global | 4.5 out of 5 stars  | 87% positive | 98 total rating	Fullfilled by Amazon
