Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Bombay Bag House	2499.00		5-6 days	0.0	1.0			0	0	0	2020-08-31 09:29:03.719596
Festivals	2559.00			60.0	1.024	3.5	62%	1	0	0	2020-08-31 09:29:03.719596
Cloudtail India	2561.00			62.0	1.0248	4.5	89%	1	1	1	2020-08-31 09:29:03.719596
