Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	999.00			0.0	1.0	4.5	89%	1	1	1	2020-08-31 09:29:03.719596
Bombay Bag House	1199.00		5-6 days	200.0	1.2002			0	0	0	2020-08-31 09:29:03.719596
