Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1027.00	80		0.0	1.0	4.5	85%	1	0	1	2020-07-31 02:47:26.961618
AnandEnterprisesForU	1028.00	11		1.0	1.001	3.5	73%	1	0	0	2020-07-31 02:47:26.961618
DEALS AMAZING	1028.00			1.0	1.001	4	80%	1	0	0	2020-07-31 02:47:26.961618
TODAY'S DEAL	1028.00			1.0	1.001	4	80%	1	0	0	2020-07-31 02:47:26.961618
RS ENTERPRISES	1028.00	18		1.0	1.001	4	78%	1	0	0	2020-07-31 02:47:26.961618
Earth industries	1048.00	29		21.0	1.0204	3	44%	1	0	0	2020-07-31 02:47:26.961618
A Bags world	1059.50	62		32.5	1.0316	3.5	69%	1	0	0	2020-07-31 02:47:26.961618
BAGS HI BAG	1063.00	72		36.0	1.0351	3.5	69%	1	0	0	2020-07-31 02:47:26.961618
THE CONNECT	1066.00	8	9-10 days	39.0	1.038	4	75%	0	0	0	2020-07-31 02:47:26.961618
E-TECH RETAIL	1099.00	1	9-11 days	72.0	1.0701	5	100%	0	0	0	2020-07-31 02:47:26.961618
cloudind	1130.00			103.0	1.1003	4.5	93%	0	0	0	2020-07-31 02:47:26.961618
Standard enterprise	1247.00	1	12-16 days	220.0	1.2142	4	100%	0	0	0	2020-07-31 02:47:26.961618
Viva Bags	1249.00	8	6-7 days	222.0	1.2162	4	75%	0	0	0	2020-07-31 02:47:26.961618
BagStop	1175.00	58	11-12 days	148.0	1.1441	3.5	57%	0	0	0	2020-07-31 02:47:26.961618
Backpack World	1290.00		7-9 days	263.0	1.2561	4	85%	0	0	0	2020-07-31 02:47:26.961618
Deepsum Bags	1900.00	4	6-7 days	873.0	1.85	5	100%	0	0	0	2020-07-31 02:47:26.961618
gsienterprises	1918.00	6	6-9 days	891.0	1.8676	3	50%	0	0	0	2020-07-31 02:47:26.961618
