Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	2530.00			0.0	1.0	4.5	89%	1	1	1	2020-08-01 09:26:19.583298
Shantam International	2749.00	6		219.0	1.0866	4	83%	0	0	0	2020-08-01 09:26:19.583298
