Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
AnandEnterprisesForU	1435.00	11		0.0	1.0	3.5	73%	1	0	1	2020-07-25 23:21:04.935301
Digitaly yours	1436.00	36	9-10 days	1.0	1.0007	3	53%	0	0	0	2020-07-25 23:21:04.935301
Earth industries	1454.00	29		19.0	1.0132	3	44%	1	0	0	2020-07-25 23:21:04.935301
Olympia Industries Ltd	1486.00			51.0	1.0355	4.5	89%	1	0	0	2020-07-25 23:21:04.935301
E-Shop Retail	1500.00	80		65.0	1.0453	4.5	85%	1	0	0	2020-07-25 23:21:04.935301
Desert Retail	1596.00	28		161.0	1.1122	4	79%	0	0	0	2020-07-25 23:21:04.935301
E-TECH RETAIL	1599.00	1	15-16 days	164.0	1.1143	5	100%	0	0	0	2020-07-25 23:21:04.935301
Backpack World	1650.00		8-9 days	215.0	1.1498	4.5	89%	0	0	0	2020-07-25 23:21:04.935301
Nasher Miles Private Limited	1699.00			264.0	1.184	5	97%	1	0	0	2020-07-25 23:21:04.935301
Net Distribution Services Pvt Ltd	1700.00	777		265.0	1.1847	4.5	86%	1	0	0	2020-07-25 23:21:04.935301
LAHAR SELECTION	1999.00		9-10 days	564.0	1.393			0	0	0	2020-07-25 23:21:04.935301
The Skool Shoppe	2080.00			645.0	1.4495			0	0	0	2020-07-25 23:21:04.935301
