Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Highland India	1439.00	174		0.0	1.0	5	99%	1	0	1	2020-07-14 08:32:56.335130
BrandRoots	1520.00	10	6-7 days	81.0	1.0563	5	100%	0	0	0	2020-07-14 08:32:56.335130
SSTZ	1524.00	90		85.0	1.0591	4	77%	1	0	0	2020-07-14 08:32:56.335130
World Market	1524.00	36		85.0	1.0591	4.5	96%	1	0	0	2020-07-14 08:32:56.335130
D-Cart	1525.00	147		86.0	1.0598	4.5	86%	1	0	0	2020-07-14 08:32:56.335130
Cloudtail India	1529.00			90.0	1.0625	4.5	90%	1	1	0	2020-07-14 08:32:56.335130
Verizoni LLC	1640.00			201.0	1.1397	3.5	70%	1	0	0	2020-07-14 08:32:56.335130
Harricane	1670.00	249		231.0	1.1605	3.5	66%	1	0	0	2020-07-14 08:32:56.335130
DEALS AMAZING	1689.00			250.0	1.1737	4	81%	1	0	0	2020-07-14 08:32:56.335130
Lioncrown India	1799.00	792		360.0	1.2502	4	87%	1	0	0	2020-07-14 08:32:56.335130
Verizoni LLC	1640.00		5-6 days	201.0	1.1397	3.5	70%	0	0	0	2020-07-14 08:32:56.335130
Textech Solutions	1925.00	311		486.0	1.3377	4.5	91%	1	0	0	2020-07-14 08:32:56.335130
ABS Attache and Bags Store	2060.00	25		621.0	1.4315	4	80%	1	0	0	2020-07-14 08:32:56.335130
