Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1125.00	70		0.0	1.0	4	82%	1	0	0	2020-08-02 14:35:20.402986
Cloudtail India	1126.00			1.0	1.0009	4.5	89%	1	1	1	2020-08-02 14:35:20.402986
HEXA A STORE	1130.00	36	10-14 days	5.0	1.0044	2.5	45%	0	0	0	2020-08-02 14:35:20.402986
Digitaly yours	1185.00	36	8-9 days	60.0	1.0533	3	53%	0	0	0	2020-08-02 14:35:20.402986
Catchy Bags	1195.00	124		70.0	1.0622	4.5	94%	1	0	0	2020-08-02 14:35:20.402986
Backpack World	1218.00		7-8 days	93.0	1.0827	4	83%	0	0	0	2020-08-02 14:35:20.402986
BagStop	1350.00	58		225.0	1.2	3.5	57%	0	0	0	2020-08-02 14:35:20.402986
cloudind	1499.00			374.0	1.3324	4.5	93%	0	0	0	2020-08-02 14:35:20.402986
Harricane	1500.00	252	7-8 days	375.0	1.3333	3.5	65%	0	0	0	2020-08-02 14:35:20.402986
TRENZY WORLD	1550.00	1		425.0	1.3778	4	100%	0	0	0	2020-08-02 14:35:20.402986
Atlantic LLC	1125.00	70		0.0	1.0	4	82%	1	0	0	2020-08-02 14:35:20.402986
Cloudtail India	1126.00			1.0	1.0009	4.5	89%	1	1	1	2020-08-02 14:35:20.402986
HEXA A STORE	1130.00	36	10-14 days	5.0	1.0044	2.5	45%	0	0	0	2020-08-02 14:35:20.402986
Digitaly yours	1185.00	36	8-9 days	60.0	1.0533	3	53%	0	0	0	2020-08-02 14:35:20.402986
Catchy Bags	1195.00	124		70.0	1.0622	4.5	94%	1	0	0	2020-08-02 14:35:20.402986
Backpack World	1218.00		7-8 days	93.0	1.0827	4	83%	0	0	0	2020-08-02 14:35:20.402986
Brands India	1590.00	249		465.0	1.4133	4	89%	1	0	0	2020-08-02 14:35:20.402986
V-THREE	1960.00	4	7-8 days	835.0	1.7422	4	75%	0	0	0	2020-08-02 14:35:20.402986
gsienterprises	2240.00	6		1115.0	1.9911	3	50%	0	0	0	2020-08-02 14:35:20.402986
Purvas Shoppe	2240.00	18	9-10 days	1115.0	1.9911	4.5	94%	0	0	0	2020-08-02 14:35:20.402986
Harricane	1500.00	252	7-8 days	375.0	1.3333	3.5	65%	0	0	0	2020-08-02 14:35:20.402986
Brands India	1590.00	249		465.0	1.4133	4	89%	1	0	0	2020-08-02 14:35:20.402986
V-THREE	1960.00	4	7-8 days	835.0	1.7422	4	75%	0	0	0	2020-08-02 14:35:20.402986
