Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Ppj bags	1350.00	93	10-14 days	0.0	1.0	4	79%	0	0	0	2020-08-02 14:35:20.402986
Desert Retail	1350.00	28		0.0	1.0	4	79%	0	0	1	2020-08-02 14:35:20.402986
Catchy Bags	1470.00	124		120.0	1.0889	4.5	94%	1	0	0	2020-08-02 14:35:20.402986
THE CONNECT	1470.00	8		120.0	1.0889	4	75%	0	0	0	2020-08-02 14:35:20.402986
YATEE TRADING COMPANY	1490.00	94		140.0	1.1037	4	78%	1	0	0	2020-08-02 14:35:20.402986
ecomstars	1645.00			295.0	1.2185	4	78%	1	0	0	2020-08-02 14:35:20.402986
Digi tree electrical & electronics	1599.00		8-9 days	249.0	1.1844			0	0	0	2020-08-02 14:35:20.402986
Brands India	1715.00			365.0	1.2704	4	89%	1	0	0	2020-08-02 14:35:20.402986
Ocean Bag	1699.00	249		349.0	1.2585	4.5	83%	0	0	0	2020-08-02 14:35:20.402986
FASHION BAG KOTA	1661.00	6	8-9 days	311.0	1.2304	1	0%	0	0	0	2020-08-02 14:35:20.402986
V-THREE	1762.00	1	7-8 days	412.0	1.3052	4	75%	0	0	0	2020-08-02 14:35:20.402986
V-THREE	1880.00	4	7-8 days	530.0	1.3926	4	75%	0	0	0	2020-08-02 14:35:20.402986
gsienterprises	1880.00	4		530.0	1.3926	3	50%	0	0	0	2020-08-02 14:35:20.402986
