Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
VINAYAK	910.00	11		0.0	1.0	5	100%	1	0	1	2020-07-24 08:23:40.873261
BAGS HI BAG	1020.00	72		110.0	1.1209	3.5	69%	1	0	0	2020-07-24 08:23:40.873261
Big Bazaar	1069.00			159.0	1.1747	3.5	57%	1	0	0	2020-07-24 08:23:40.873261
BNBLUG	1090.00		5-6 days	180.0	1.1978			0	0	0	2020-07-24 08:23:40.873261
Sh Bala Ji Bag House	995.00			85.0	1.0934			0	0	0	2020-07-24 08:23:40.873261
SSTZ	1199.00			289.0	1.3176	4	77%	1	0	0	2020-07-24 08:23:40.873261
Standard enterprise	1250.00		12-13 days	340.0	1.3736	4	100%	0	0	0	2020-07-24 08:23:40.873261
standard bag house	1430.00	90	12-13 days	520.0	1.5714	5	100%	0	0	0	2020-07-24 08:23:40.873261
Ocean Bag	1390.00	1	7-9 days	480.0	1.5275	4.5	83%	0	0	0	2020-07-24 08:23:40.873261
V-THREE	1489.00	4		579.0	1.6363	4	75%	0	0	0	2020-07-24 08:23:40.873261
Deepsum Bags	1500.00	6	7-9 days	590.0	1.6484	5	100%	0	0	0	2020-07-24 08:23:40.873261
KHUSHI BAGS	1432.00	4	10-14 days	522.0	1.5736	4	83%	0	0	0	2020-07-24 08:23:40.873261
V-THREE	1599.00	4		689.0	1.7571	4	75%	0	0	0	2020-07-24 08:23:40.873261
gsienterprises	1592.00	36		682.0	1.7495	3	50%	0	0	0	2020-07-24 08:23:40.873261
