Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SiH	300.00	44		9.0	1.0309	4.5	93%	1	0	1	2020-09-02 06:51:12.398428
Desert Retail	301.00	28		10.0	1.0344	4	79%	0	0	0	2020-09-02 06:51:12.398428
Cloudtail India	320.00			29.0	1.0997	4.5	89%	1	1	0	2020-09-02 06:51:12.398428
Pass ki dukan	291.00	15	5-6 days	0.0	1.0	4.5	87%	0	0	0	2020-09-02 06:51:12.398428
Festivals	369.00			78.0	1.268	3.5	62%	1	0	0	2020-09-02 06:51:12.398428
INDIA'S BEST COMPETITIVE PRICES	295.00	69	8-11 days	4.0	1.0137	2.5	35%	0	0	0	2020-09-02 06:51:12.398428
Bombay Bag House	399.00		6-7 days	108.0	1.3711			0	0	0	2020-09-02 06:51:12.398428
Big Bazaar	449.00			158.0	1.543	3.5	61%	1	0	0	2020-09-02 06:51:12.398428
Chandinicolection	299.00		5-6 days	8.0	1.0275			0	0	0	2020-09-02 06:51:12.398428
Shiva Assosciates	699.00		6-7 days	408.0	2.4021	3	50%	0	0	0	2020-09-02 06:51:12.398428
