Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
ELECTRONICS FESTIVAL	698.00	112		0.0	1.0	3.5	65%	1	0	0	2020-07-16 02:16:48.485906
Discount Junction	998.00	410		300.0	1.4298	3.5	64%	0	0	0	2020-07-16 02:16:48.485906
Timex Avtansh	998.00	1	5-6 days	300.0	1.4298	5	100%	0	0	0	2020-07-16 02:16:48.485906
