Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
WOMAN ERA	844.00	8		0.0	1.0	4.5	88%	1	0	1	2020-08-01 15:59:23.115188
Safari's luggage world	845.00	27	9-10 days	1.0	1.0012	4	74%	0	0	0	2020-08-01 15:59:23.115188
Limrabags	1191.00			347.0	1.4111			0	0	0	2020-08-01 15:59:23.115188
CJL COLLECTION	1139.00			295.0	1.3495	4	78%	0	0	0	2020-08-01 15:59:23.115188
WOMAN ERA	1244.00	9		400.0	1.4739	4.5	88%	1	0	1	2020-08-01 15:59:23.115188
Husamsons	1249.00	8		405.0	1.4799	4.5	87%	0	0	0	2020-08-01 15:59:23.115188
WIDGET	1290.00	111	11-15 days	446.0	1.5284	5	100%	0	0	0	2020-08-01 15:59:23.115188
The Skool Shoppe	1299.00	4	10-11 days	455.0	1.5391			0	0	0	2020-08-01 15:59:23.115188
The Skool Shoppe	1299.00		10-11 days	455.0	1.5391			0	0	0	2020-08-01 15:59:23.115188
