Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1170.00	69		0.0	1.0	4	83%	1	0	1	2020-07-13 03:24:24.885961
EFLIP BAGGSKART ECOMMERCE PVT LTD	1170.00	35		0.0	1.0	2.5	41%	0	0	0	2020-07-13 03:24:24.885961
Catchy Bags	1175.00	124		5.0	1.0043	4.5	96%	1	0	0	2020-07-13 03:24:24.885961
Digitaly yours	1185.00	36	7-8 days	15.0	1.0128	3	53%	0	0	0	2020-07-13 03:24:24.885961
Backpack World	1218.00			48.0	1.041	4.5	94%	0	0	0	2020-07-13 03:24:24.885961
BagStop	1350.00	58	8-9 days	180.0	1.1538	3.5	57%	0	0	0	2020-07-13 03:24:24.885961
cloudind	1499.00			329.0	1.2812	4.5	87%	0	0	0	2020-07-13 03:24:24.885961
Harricane	1500.00	249	6-7 days	330.0	1.2821	3.5	66%	0	0	0	2020-07-13 03:24:24.885961
Brands India	1590.00	247		420.0	1.359	4.5	89%	1	0	0	2020-07-13 03:24:24.885961
Standard enterprise	1550.00	1	8-9 days	380.0	1.3248	4	100%	0	0	0	2020-07-13 03:24:24.885961
V-THREE	1960.00	4		790.0	1.6752	4	75%	0	0	0	2020-07-13 03:24:24.885961
gsienterprises	2240.00	6	7-8 days	1070.0	1.9145	3	50%	0	0	0	2020-07-13 03:24:24.885961
Purvas Shoppe	2240.00	18		1070.0	1.9145	4.5	94%	0	0	0	2020-07-13 03:24:24.885961
