Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	299.00			80.0	1.3653	4.5	90%	1	1	1	2020-07-26 01:52:12.282914
INDIA'S BEST COMPETITIVE PRICES	219.00	33	11-12 days	0.0	1.0	2.5	33%	0	0	0	2020-07-26 01:52:12.282914
BAGS KART	320.00	78		101.0	1.4612	4.5	92%	1	0	0	2020-07-26 01:52:12.282914
Festivals	359.00			140.0	1.6393	3.5	60%	1	0	0	2020-07-26 01:52:12.282914
Smart BuyBox	299.00	9	11-12 days	80.0	1.3653	3	44%	0	0	0	2020-07-26 01:52:12.282914
Smart BuyBox	303.00	9	11-12 days	84.0	1.3836	3	44%	0	0	0	2020-07-26 01:52:12.282914
Easy Home Deals	449.00	321		230.0	2.0502	4	79%	1	0	0	2020-07-26 01:52:12.282914
Big Bazaar	475.00			256.0	2.1689	3.5	57%	1	0	0	2020-07-26 01:52:12.282914
LVDV	599.00	19	9-10 days	380.0	2.7352	4	73%	0	0	0	2020-07-26 01:52:12.282914
Sumraj India Udyog	699.00	1	3-7 days	480.0	3.1918	5	100%	0	0	0	2020-07-26 01:52:12.282914
