Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1155.00	69		0.0	1.0	4	83%	1	0	0	2020-07-13 10:19:34.703269
Cloudtail India	1159.00			4.0	1.0035	4.5	90%	1	1	1	2020-07-13 10:19:34.703269
Discount Junction	1949.00	408		794.0	1.6874	3.5	64%	0	0	0	2020-07-13 10:19:34.703269
Timex Avtansh	1949.00	1	6-7 days	794.0	1.6874	5	100%	0	0	0	2020-07-13 10:19:34.703269
