Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
CHVE	1430.00	42	8-9 days	0.0	1.0	4.5	88%	0	0	0	2020-07-13 10:19:34.703269
AnandEnterprisesForU	1435.00	11		5.0	1.0035	3.5	73%	1	0	1	2020-07-13 10:19:34.703269
E-Shop Retail	1436.00	79		6.0	1.0042	4.5	83%	1	0	0	2020-07-13 10:19:34.703269
Digitaly yours	1436.00	36	8-9 days	6.0	1.0042	3	53%	0	0	0	2020-07-13 10:19:34.703269
SanSac Global	1449.00	8		19.0	1.0133	2.5	50%	1	0	0	2020-07-13 10:19:34.703269
Desert Retail	1596.00	28	8-9 days	166.0	1.1161	4	79%	0	0	0	2020-07-13 10:19:34.703269
E-TECH RETAIL	1599.00	1	8-10 days	169.0	1.1182	5	100%	0	0	0	2020-07-13 10:19:34.703269
Backpack World	1650.00		6-7 days	220.0	1.1538	4.5	94%	0	0	0	2020-07-13 10:19:34.703269
GoTo Style Mart	1699.00			269.0	1.1881	4.5	96%	1	0	0	2020-07-13 10:19:34.703269
Net Distribution Services Pvt Ltd	1700.00	774		270.0	1.1888	4.5	85%	1	0	0	2020-07-13 10:19:34.703269
The Skool Shoppe	2080.00		8-10 days	650.0	1.4545			0	0	0	2020-07-13 10:19:34.703269
Purvas Shoppe	2550.00		6-7 days	1120.0	1.7832	4.5	94%	0	0	0	2020-07-13 10:19:34.703269
