Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SSTZ	1498.00	91		0.0	1.0	4	77%	1	0	1	2020-08-03 15:06:16.866745
RJTraders	1547.00	7	8-9 days	49.0	1.0327	3.5	71%	0	0	0	2020-08-03 15:06:16.866745
RS ENTERPRISES	1598.00	19		100.0	1.0668	4	79%	1	0	0	2020-08-03 15:06:16.866745
