Price + Delivery	Condition	Seller Information	Delivery
  999.00 | Prime : No | FREE Delivery | 10% off. Discount applied at checkout.	New	cross accessories | 4 out of 5 stars  | 71% positive. | 7 total rating	Not fulfilled by Amazon | 11-13 days
  1,599.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	p.k mobile world | 5 out of 5 stars  | 100% positive | 1 total rating	Not fulfilled by Amazon | 11-13 days
