Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	849.00			0.0	1.0	4.5	89%	1	1	1	2020-09-03 11:44:26.890122
CS RETAIL	1698.00	72	10-13 days	849.0	2.0	3	47%	0	0	0	2020-09-03 11:44:26.890122
