Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1499.00			0.0	1.0	4.5	90%	1	1	1	2020-07-16 16:09:50.819200
Deals7x24	1540.00	44	8-10 days	41.0	1.0274	4	74%	0	0	0	2020-07-16 16:09:50.819200
E-TECH RETAIL	1598.00	1	8-10 days	99.0	1.066	5	100%	0	0	0	2020-07-16 16:09:50.819200
