Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	295.00	56		4.0	1.0137	4.5	90%	1	0	1	2020-08-03 21:57:14.034878
BAGS KART	319.00	79		28.0	1.0962	4.5	92%	1	0	0	2020-08-03 21:57:14.034878
Desert Retail	319.00	28		28.0	1.0962	4	79%	0	0	0	2020-08-03 21:57:14.034878
Cloudtail India	338.00			47.0	1.1615	4.5	89%	1	1	0	2020-08-03 21:57:14.034878
Pass ki dukan	291.00	14	9-10 days	0.0	1.0	4.5	86%	0	0	0	2020-08-03 21:57:14.034878
Festivals	369.00			78.0	1.268	3.5	61%	1	0	0	2020-08-03 21:57:14.034878
INDIA'S BEST COMPETITIVE PRICES	349.00	39		58.0	1.1993	2.5	36%	0	0	0	2020-08-03 21:57:14.034878
Big Bazaar	475.00			184.0	1.6323	3	57%	1	0	0	2020-08-03 21:57:14.034878
Shiva Assosciates	699.00	6		408.0	2.4021	3.5	67%	0	0	0	2020-08-03 21:57:14.034878
LVDV	799.00	19	8-9 days	508.0	2.7457	4	73%	0	0	0	2020-08-03 21:57:14.034878
