Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	295.00	56		0.0	1.0	4.5	90%	1	0	1	2020-08-03 21:57:14.034878
Desert Retail	315.00	28		20.0	1.0678	4	79%	0	0	0	2020-08-03 21:57:14.034878
SiH	320.00	44		25.0	1.0847	4.5	93%	1	0	0	2020-08-03 21:57:14.034878
Cloudtail India	335.00			40.0	1.1356	4.5	89%	1	1	0	2020-08-03 21:57:14.034878
Festivals	359.00			64.0	1.2169	3.5	61%	1	0	0	2020-08-03 21:57:14.034878
Ganesh bag emporium	299.00		9-10 days	4.0	1.0136			0	0	0	2020-08-03 21:57:14.034878
Pass ki dukan	299.00		9-10 days	4.0	1.0136	4.5	86%	0	0	0	2020-08-03 21:57:14.034878
INDIA'S BEST COMPETITIVE PRICES	315.00	14		20.0	1.0678	2.5	36%	0	0	0	2020-08-03 21:57:14.034878
Easy Home Deals	449.00	39		154.0	1.522	4	77%	1	0	0	2020-08-03 21:57:14.034878
Big Bazaar	475.00	331		180.0	1.6102	3	57%	1	0	0	2020-08-03 21:57:14.034878
LVDV	599.00		8-9 days	304.0	2.0305	4	73%	0	0	0	2020-08-03 21:57:14.034878
Sumraj India Udyog	699.00	19	2-6 days	404.0	2.3695	5	100%	0	0	0	2020-08-03 21:57:14.034878
