Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Olympia Industries Ltd	748.00			0.0	1.0	4.5	89%	1	0	1	2020-08-02 13:09:25.394192
Cloudtail India	801.00			53.0	1.0709	4.5	89%	1	1	0	2020-08-02 13:09:25.394192
Timex Avtansh	1049.00	2		301.0	1.4024	5	100%	1	0	0	2020-08-02 13:09:25.394192
Discount Junction	1049.00	417		301.0	1.4024	3.5	61%	0	0	0	2020-08-02 13:09:25.394192
Timex Avtansh	1049.00	2		301.0	1.4024	5	100%	0	0	0	2020-08-02 13:09:25.394192
