Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1125.00	70		0.0	1.0	4	82%	1	0	1	2020-08-02 13:09:25.394192
HEXA A STORE	1130.00	36	10-14 days	5.0	1.0044	2.5	45%	0	0	0	2020-08-02 13:09:25.394192
Digitaly yours	1185.00	36	8-9 days	60.0	1.0533	3	53%	0	0	0	2020-08-02 13:09:25.394192
Catchy Bags	1195.00	124		70.0	1.0622	4.5	94%	1	0	0	2020-08-02 13:09:25.394192
Cloudtail India	1199.00			74.0	1.0658	4.5	89%	1	1	0	2020-08-02 13:09:25.394192
Backpack World	1218.00			93.0	1.0827	4	83%	0	0	0	2020-08-02 13:09:25.394192
BagStop	1350.00	58	10-14 days	225.0	1.2	3.5	57%	0	0	0	2020-08-02 13:09:25.394192
cloudind	1499.00			374.0	1.3324	4.5	93%	0	0	0	2020-08-02 13:09:25.394192
Harricane	1500.00	252	7-8 days	375.0	1.3333	3.5	65%	0	0	0	2020-08-02 13:09:25.394192
TRENZY WORLD	1550.00	1		425.0	1.3778	4	100%	0	0	0	2020-08-02 13:09:25.394192
Atlantic LLC	1125.00	70		0.0	1.0	4	82%	1	0	1	2020-08-02 13:09:25.394192
HEXA A STORE	1130.00	36	10-14 days	5.0	1.0044	2.5	45%	0	0	0	2020-08-02 13:09:25.394192
Digitaly yours	1185.00	36	8-9 days	60.0	1.0533	3	53%	0	0	0	2020-08-02 13:09:25.394192
Catchy Bags	1195.00	124		70.0	1.0622	4.5	94%	1	0	0	2020-08-02 13:09:25.394192
Cloudtail India	1199.00			74.0	1.0658	4.5	89%	1	1	0	2020-08-02 13:09:25.394192
Backpack World	1218.00			93.0	1.0827	4	83%	0	0	0	2020-08-02 13:09:25.394192
Brands India	1590.00	249		465.0	1.4133	4	89%	1	0	0	2020-08-02 13:09:25.394192
V-THREE	1960.00	4	7-8 days	835.0	1.7422	4	75%	0	0	0	2020-08-02 13:09:25.394192
gsienterprises	2240.00	6		1115.0	1.9911	3	50%	0	0	0	2020-08-02 13:09:25.394192
Purvas Shoppe	2240.00	18	8-9 days	1115.0	1.9911	4.5	94%	0	0	0	2020-08-02 13:09:25.394192
Harricane	1500.00	252	7-8 days	375.0	1.3333	3.5	65%	0	0	0	2020-08-02 13:09:25.394192
Brands India	1590.00	249		465.0	1.4133	4	89%	1	0	0	2020-08-02 13:09:25.394192
V-THREE	1960.00	4	7-8 days	835.0	1.7422	4	75%	0	0	0	2020-08-02 13:09:25.394192
