Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1030.00	80		0.0	1.0	4.5	85%	1	0	1	2020-07-25 07:15:47.375171
RS ENTERPRISES	1030.00	18		0.0	1.0	4	78%	1	0	0	2020-07-25 07:15:47.375171
DEALS AMAZING	1045.00			15.0	1.0146	4	81%	1	0	0	2020-07-25 07:15:47.375171
Earth industries	1048.00	29		18.0	1.0175	3	44%	1	0	0	2020-07-25 07:15:47.375171
TODAY'S DEAL	1057.00			27.0	1.0262	4	80%	1	0	0	2020-07-25 07:15:47.375171
A Bags world	1059.50	62		29.5	1.0286	3.5	69%	1	0	0	2020-07-25 07:15:47.375171
BAGS HI BAG	1063.00	72		33.0	1.032	3.5	69%	1	0	0	2020-07-25 07:15:47.375171
THE CONNECT	1066.00	8	12-13 days	36.0	1.035	4	75%	0	0	0	2020-07-25 07:15:47.375171
E-TECH RETAIL	1099.00	1		69.0	1.067	5	100%	0	0	0	2020-07-25 07:15:47.375171
cloudind	1130.00			100.0	1.0971	4.5	90%	0	0	0	2020-07-25 07:15:47.375171
Standard enterprise	1247.00	1	11-12 days	217.0	1.2107	4	100%	0	0	0	2020-07-25 07:15:47.375171
Viva Bags	1249.00	8		219.0	1.2126	4	75%	0	0	0	2020-07-25 07:15:47.375171
BagStop	1175.00	58		145.0	1.1408	3.5	57%	0	0	0	2020-07-25 07:15:47.375171
Backpack World	1290.00		8-9 days	260.0	1.2524	4.5	89%	0	0	0	2020-07-25 07:15:47.375171
Deepsum Bags	1900.00	4	8-9 days	870.0	1.8447	5	100%	0	0	0	2020-07-25 07:15:47.375171
gsienterprises	1918.00	6	8-9 days	888.0	1.8621	3	50%	0	0	0	2020-07-25 07:15:47.375171
