Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Olympia Industries Ltd	1329.00			0.0	1.0	4.5	90%	1	0	1	2020-07-15 15:09:59.925455
Atlantic LLC	1385.00	70		56.0	1.0421	4	83%	1	0	0	2020-07-15 15:09:59.925455
SanSac Global	1389.00	8		60.0	1.0451	2.5	50%	1	0	0	2020-07-15 15:09:59.925455
AnandEnterprisesForU	1394.00	11		65.0	1.0489	3.5	73%	1	0	0	2020-07-15 15:09:59.925455
Earth industries	1423.00	29		94.0	1.0707	3	44%	1	0	0	2020-07-15 15:09:59.925455
Discount Junction	1999.00	410		670.0	1.5041	3.5	64%	0	0	0	2020-07-15 15:09:59.925455
Timex Avtansh	1999.00	1	6-7 days	670.0	1.5041	5	100%	0	0	0	2020-07-15 15:09:59.925455
