Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	649.00			0.0	1.0	4.5	90%	1	1	1	2020-07-17 03:02:40.352043
RS ENTERPRISES	849.00	18		200.0	1.3082	4	78%	1	0	0	2020-07-17 03:02:40.352043
Catchy Bags	915.00	124		266.0	1.4099	4.5	96%	1	0	0	2020-07-17 03:02:40.352043
Backpack World	917.00		5-6 days	268.0	1.4129	4.5	94%	0	0	0	2020-07-17 03:02:40.352043
little bazar	820.00	22	10-11 days	171.0	1.2635	4	73%	0	0	0	2020-07-17 03:02:40.352043
BagStop	930.00	58	9-10 days	281.0	1.433	3.5	57%	0	0	0	2020-07-17 03:02:40.352043
Ocean Bag	990.00	6		341.0	1.5254	4.5	83%	0	0	0	2020-07-17 03:02:40.352043
Standard enterprise	1050.00	1		401.0	1.6179	4	100%	0	0	0	2020-07-17 03:02:40.352043
Deepsum Bags	1150.00	4	7-9 days	501.0	1.772	5	100%	0	0	0	2020-07-17 03:02:40.352043
gsienterprises	1160.00	6		511.0	1.7874	3	50%	0	0	0	2020-07-17 03:02:40.352043
Purvas Shoppe	1230.00	18	6-7 days	581.0	1.8952	4.5	94%	0	0	0	2020-07-17 03:02:40.352043
