Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
New Ashapura Suitcase Centre	1005.00			0.0	1.0			0	0	0	2020-07-31 05:24:40.777423
Sachdeva Attachi House	1025.00			20.0	1.0199	4	72%	1	0	1	2020-07-31 05:24:40.777423
DEALS AMAZING	1045.00	36		40.0	1.0398	4	80%	1	0	0	2020-07-31 05:24:40.777423
TODAY'S DEAL	1049.00			44.0	1.0438	4	80%	1	0	0	2020-07-31 05:24:40.777423
SEASON SALE	1050.00			45.0	1.0448	4.5	94%	1	0	0	2020-07-31 05:24:40.777423
Ocean Bag	1029.00		7-9 days	24.0	1.0239	4.5	83%	0	0	0	2020-07-31 05:24:40.777423
Backpack World	1095.00	6	7-9 days	90.0	1.0896	4	85%	0	0	0	2020-07-31 05:24:40.777423
Catchy Bags	1150.00			145.0	1.1443	4.5	94%	1	0	0	2020-07-31 05:24:40.777423
BagStop	1100.00	124	11-12 days	95.0	1.0945	3.5	57%	0	0	0	2020-07-31 05:24:40.777423
Balaji E	1240.00	58		235.0	1.2338	4	76%	1	0	0	2020-07-31 05:24:40.777423
V-THREE	1275.00	34	7-9 days	270.0	1.2687	4	75%	0	0	0	2020-07-31 05:24:40.777423
V-THREE	1360.00	4	7-9 days	355.0	1.3532	4	75%	0	0	0	2020-07-31 05:24:40.777423
gsienterprises	1360.00	4		355.0	1.3532	3	50%	0	0	0	2020-07-31 05:24:40.777423
