Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Xtreme Focus	2000.00	452	6-8 days	0.0	1.0	4.5	95%	0	0	0
Appario Retail Private Ltd	2093.00	302,156		93.0	1.0465	4.5	93%	1	1	1
Express Deal	2099.00	634		99.0	1.0495	5	98%	1	0	0
Comet Busters®	2390.00	325		390.0	1.195	4.5	94%	1	0	0
Digital Xpert	2438.00	1,034	10-11 days	438.0	1.219	5	97%	0	0	0
The-EStore	2590.00	154	2-5 days	590.0	1.295	4.5	83%	0	0	0
