Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
SHREE KHATU SHYAM	270.00			0.0	1.0			0	0	0
Appario Retail Private Ltd	397.00	302,477		127.0	1.4704	4.5	93%	1	1	1
AMIGOS GADGETS	423.00	8		153.0	1.5667	2	25%	0	0	0
FotoCart dot in	690.00	398		420.0	2.5556	4.5	86%	1	0	0
