Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
NTC-BLR	658.00	661		0.0	1.0	4	73%	1	0	1
Appario Retail Private Ltd	1329.00	302,342		671.0	2.0198	4.5	93%	1	1	0
