Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Smartonline	495.00	91		0.0	1.0	4.5	94%	1	0	1
clicknsave	499.00	773		4.0	1.0081	4.5	81%	1	0	0
Durga Enterprises297	515.00	8	13-14 days	20.0	1.0404	5	100%	0	0	0
Cloudtrade	589.00	235	6-7 days	94.0	1.1899	4	84%	0	0	0
Ondots	590.00	92		95.0	1.1919	3	54%	1	0	0
Technogazet	517.00	1,799	6-7 days	22.0	1.0444	4.5	93%	0	0	0
