Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
UniqueClick	1273.00	2,193		0.0	1.0	4	81%	1	0	0
XANDZERO	1274.00	627		1.0	1.0008	4.5	87%	1	0	1
FADDISH	1275.00	1,412		2.0	1.0016	4.5	98%	1	0	0
Express Delivery Retail	1280.00	849		7.0	1.0055	4	83%	1	0	0
SHRI SAI TRADERS	1449.00	1	4-5 days	176.0	1.1383	5	100%	0	0	0
Cart2India SLP	6722.00	1,333	11-19 days	5449.0	5.2804	3	53%	0	0	0
