Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Think Of Us	499.00	546		0.0	1.0	3	50%	0	0	0
Appario Retail Private Ltd	549.00	302,375		50.0	1.1002	4.5	93%	1	1	1
COMPETITIVE MARKETING	999.00	13	6-7 days	500.0	2.002	3.5	54%	0	0	0
True Accessories	1299.00	196		800.0	2.6032	4.5	91%	1	0	0
