Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Headphone Zone Pvt Ltd	4499.00	67		0.0	1.0	4	72%	1	0	1
Peach Imports	9999.00	498		5500.0	2.2225	4.5	84%	1	0	0
