Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	36450.00	302,157		0.0	1.0	4.5	93%	1	1	1
V direct	36890.00	20	16-23 days	440.0	1.0121	4	80%	0	0	0
Peach Imports	54999.00	498	13-20 days	18549.0	1.5089	4.5	84%	0	0	0
