Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
MUSIC_FOR_ALL	13075.00	12		0.0	1.0	5	100%	1	0	1
STS Shop	13075.00	1,156	9-16 days	0.0	1.0	4	76%	0	0	0
Cart2India SLP	17509.00	1,334	10-18 days	4434.0	1.3391	3	53%	0	0	0
Kiron	31295.00	476	10-18 days	18220.0	2.3935	5	100%	0	0	0
