Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Kohinoor06	1743.00	6		0.0	1.0	2	33%	1	0	1
Appario Retail Private Ltd	1884.00	302,349		141.0	1.0809	4.5	93%	1	1	0
KEI HiFi	3199.00	115		1456.0	1.8353	3.5	67%	1	0	0
