Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
R2Services_BLR	689.00	277	3-7 days	0.0	1.0	4	78%	0	0	0
LIFESTYLES	690.00	897	3-5 days	1.0	1.0015	4.5	89%	0	0	1
THE IT MALL	790.00	2	4-5 days	101.0	1.1466	1	0%	0	0	0
LVDV	799.00	5		110.0	1.1597	4.5	80%	0	0	0
