Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Teleecare Network	1049.00	120		0.0	1.0	4	69%	1	0	1
Appario Retail Private Ltd	1111.00	302,278		62.0	1.0591	4.5	93%	1	1	0
