Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	799.00	302,380		0.0	1.0	4.5	93%	1	1	1
M D Seller	1300.00	10	4-6 days	501.0	1.627	4.5	90%	0	0	0
