Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	435.00	302,365		0.0	1.0	4.5	93%	1	1	1
Billionairre	525.00	3		90.0	1.2069	3.5	33%	1	0	0
